AssetID,Brand,ModelNumber,SerialNumber,Description,IsMissing,IsOOC,MaintenanceLogs,DepartmentCode,DefaultLocation,CurrentLocation
IPAD#01,Apple,IPAD,YVTP9HPX47,(10th Generation),False,False,,AX,Store,Store
IPAD#02,Apple,IPAD,JX9KXKKPF4,(10th Generation),False,False,,AX,Store,Store
IPAD#03,Apple,IPAD,TFQYL2K0JW,(10th Generation),False,False,,AX,Store,Store
AT8668#01,Audio Tecnica,AT8668,,Microphone Desk Stand,False,False,,AX,Store,Store
AT8668#02,Audio Tecnica,AT8668,,Microphone Desk Stand,False,False,,AX,Store,Store
AT8668#03,Audio Tecnica,AT8668,,Microphone Desk Stand,False,False,,AX,Store,
AT8668#04,Audio Tecnica,AT8668,,Microphone Desk Stand,False,False,,AX,Store,
AT8668#05,Audio Tecnica,AT8668,,Microphone Desk Stand,False,False,,AX,Store,
AT8668#06,Audio Tecnica,AT8668,,Microphone Desk Stand,False,False,,AX,Store,
AT8668#07,Audio Tecnica,AT8668,,Microphone Desk Stand,False,False,,AX,Store,
AT8668#08,Audio Tecnica,AT8668,,Microphone Desk Stand,False,False,,AX,Store,
AT8668#09,Audio Tecnica,AT8668,,Microphone Desk Stand,False,False,,AX,Store,
AT8668#10,Audio Tecnica,AT8668,,Microphone Desk Stand,False,False,,AX,Store,
C451B#01,AKG,C451B,VI0803-107486,Cardioid condenser microphone,False,False,,AX,Store,
C451B#02,AKG,C451B,VI0803-106725,Cardioid condenser microphone,False,False,,AX,Store,
C451B#03,AKG,C451B,VI0803-106979,Cardioid condenser microphone,False,False,,AX,Store,
C451B#04,AKG,C451B,VI0803-106596,Cardioid condenser microphone,False,False,,AX,Store,Store
C451B#05,AKG,C451B,VI0803-106086,Cardioid condenser microphone,False,False,,AX,Store,Store
C451B#06,AKG,C451B,,Cardioid condenser microphone,False,False,,AX,Store,Store
C451B#07,AKG,C451B,,Cardioid condenser microphone,False,False,,AX,Store,
C451B#08,AKG,C451B,,Cardioid condenser microphone,False,False,,AX,Store,
C451B#09,AKG,C451B,,Cardioid condenser microphone,False,False,,AX,Store,Store
C451B#10,AKG,C451B,,Cardioid condenser microphone,False,False,,AX,Store,
B91A#01,Shure,Beta 91A,98A14333,Boundary condenser microphone,False,False,,AX,Store,Store
B52A#01,Shure,Beta 52A,,Kick drum mic,False,False,,AX,Store,Store
C411#01,AKG,C411,VI0821-375594,PP Miniature condenser vibration pickup mic,False,False,,AX,Store,
CT3#01,DBX,CT3,11065310806,advanced cable tester,False,False,,AX,Store,
4088#01,DPA,4088,,"Directional Headset, beige",False,False,,AX,Store,
4088#02,DPA,4088,,"Directional Headset, beige",False,False,,AX,Store,
4099#01,DPA,4099,E46719,Instrument Microphone,False,False,"2025/07/14	bnjm2000	Inventory check, cable is exposed",AX,Store,Store
